                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 1.2986,                0.67972,                 1.8633,                0.91036,                0.86157,                0.91537,                0.73513,                 1.6605,                0.95874,                 2.1438,             0.00024225,             0.00024225,             0.00024225
                     59,                 1.3126,                0.71049,                 1.8698,                0.89197,                0.88565,                0.92835,                0.74447,                 1.6643,                0.92807,                 2.1471,             0.00023674,             0.00023674,             0.00023674
                     60,                   1.29,                0.68938,                 1.8588,                0.91876,                0.87103,                0.92586,                0.74267,                 1.6508,                0.96155,                 2.1896,             0.00023124,             0.00023124,             0.00023124
                     61,                 1.2472,                0.65176,                 1.8647,                0.90899,                0.89111,                0.93413,                0.74697,                 1.6768,                0.97771,                 2.2536,             0.00022574,             0.00022574,             0.00022574
                     62,                 1.2928,                0.69115,                 1.8556,                0.92171,                0.87495,                0.93631,                0.75263,                 1.6458,                0.98163,                 2.1943,             0.00022023,             0.00022023,             0.00022023
                     63,                 1.2289,                 0.6762,                 1.8568,                0.91121,                0.87934,                0.92484,                 0.7449,                  1.656,                0.94701,                 2.1985,             0.00021473,             0.00021473,             0.00021473
                     64,                 1.3015,                0.68591,                 1.8428,                0.91404,                0.88091,                0.93351,                0.75325,                 1.6389,                  0.904,                 2.1751,             0.00020922,             0.00020922,             0.00020922
                     65,                 1.2461,                0.66521,                 1.8456,                0.91704,                0.89472,                0.93695,                0.75397,                 1.6479,                0.93868,                 2.1958,             0.00020372,             0.00020372,             0.00020372
                     66,                 1.2376,                0.65115,                 1.8451,                0.92481,                0.87785,                0.93119,                0.74606,                 1.6686,                0.94582,                 2.2164,             0.00019821,             0.00019821,             0.00019821
                     67,                 1.2069,                0.63331,                 1.8379,                0.91831,                0.87524,                0.93738,                 0.7548,                 1.6557,                0.93642,                   2.21,             0.00019271,             0.00019271,             0.00019271
                     68,                  1.211,                0.63759,                 1.8397,                0.89328,                0.88714,                0.92807,                0.74973,                 1.6587,                0.99516,                 2.2563,             0.00018721,             0.00018721,             0.00018721
                     69,                 1.2298,                0.63964,                 1.8441,                 0.9103,                0.88038,                0.93049,                0.74945,                  1.646,                 0.9453,                  2.242,              0.0001817,              0.0001817,              0.0001817
                     70,                  1.226,                0.63411,                 1.8441,                0.91645,                0.87229,                0.93241,                 0.7529,                 1.6396,                0.97363,                 2.2182,              0.0001762,              0.0001762,              0.0001762
                     71,                 1.1724,                0.63457,                 1.8351,                0.91107,                0.87048,                0.92873,                0.75298,                 1.6261,                0.94884,                 2.1944,             0.00017069,             0.00017069,             0.00017069
                     72,                 1.2109,                0.63263,                 1.8281,                0.92229,                0.87297,                 0.9313,                 0.7506,                 1.6494,                0.99984,                 2.2228,             0.00016519,             0.00016519,             0.00016519
                     73,                  1.245,                0.64199,                 1.8229,                0.90338,                0.89697,                0.93445,                0.74851,                 1.6542,                0.98793,                 2.2228,             0.00015968,             0.00015968,             0.00015968
                     74,                 1.1595,                0.60801,                 1.8319,                0.90088,                0.89521,                0.93032,                0.75342,                 1.6262,                0.95484,                 2.2177,             0.00015418,             0.00015418,             0.00015418
                     75,                 1.1667,                 0.5941,                 1.8147,                0.91443,                0.89086,                0.93692,                0.75165,                 1.6496,                0.94626,                 2.2367,             0.00014867,             0.00014867,             0.00014867
                     76,                 1.1485,                0.61133,                 1.8199,                0.92783,                0.87496,                0.93631,                0.75488,                  1.662,                0.94202,                 2.2365,             0.00014317,             0.00014317,             0.00014317
                     77,                 1.1729,                0.60968,                 1.8192,                0.91609,                0.87783,                0.93831,                0.75512,                 1.6814,                0.92817,                 2.2682,             0.00013767,             0.00013767,             0.00013767
                     78,                 1.1326,                0.60808,                  1.814,                0.93216,                0.87284,                0.93735,                0.75282,                 1.6558,                0.95529,                 2.2588,             0.00013216,             0.00013216,             0.00013216
                     79,                  1.133,                0.59684,                 1.8303,                 0.9182,                0.88602,                0.93602,                0.75623,                 1.6428,                0.96723,                 2.2365,             0.00012666,             0.00012666,             0.00012666
                     80,                 1.1446,                0.59152,                 1.8095,                0.92842,                 0.8659,                0.93168,                0.75454,                 1.6549,                0.96971,                 2.2168,             0.00012115,             0.00012115,             0.00012115
                     81,                 1.1326,                0.60024,                 1.8035,                0.92522,                0.87081,                0.92967,                0.74578,                 1.6731,                0.96732,                 2.2288,             0.00011565,             0.00011565,             0.00011565
                     82,                 1.1189,                0.58762,                 1.7985,                0.92448,                0.87121,                0.92802,                0.74716,                 1.6568,                0.97044,                 2.2453,             0.00011014,             0.00011014,             0.00011014
                     83,                 1.1177,                0.58443,                 1.7819,                0.92701,                0.87417,                0.93035,                 0.7493,                 1.6461,                0.98078,                 2.2158,             0.00010464,             0.00010464,             0.00010464
                     84,                 1.0491,                0.54385,                 1.7782,                0.91396,                0.89185,                0.93059,                0.75067,                 1.6542,                0.96971,                 2.2392,             9.9135e-05,             9.9135e-05,             9.9135e-05
                     85,                 1.1156,                0.58015,                 1.7888,                0.93185,                0.86602,                 0.9325,                0.75221,                 1.6487,                 1.0023,                 2.2071,              9.363e-05,              9.363e-05,              9.363e-05
                     86,                 1.0851,                0.56804,                 1.7843,                0.92432,                0.87712,                0.93655,                0.75779,                 1.6714,                 0.9736,                 2.2219,             8.8126e-05,             8.8126e-05,             8.8126e-05
                     87,                 1.0834,                0.57227,                 1.7821,                0.91698,                0.87487,                0.93426,                 0.7532,                 1.6606,                0.95336,                 2.2248,             8.2622e-05,             8.2622e-05,             8.2622e-05
                     88,                 1.0955,                 0.5776,                 1.7827,                0.91158,                0.89191,                0.93494,                0.75554,                 1.6756,                0.94876,                 2.2511,             7.7117e-05,             7.7117e-05,             7.7117e-05
                     89,                 1.0635,                0.54987,                 1.7825,                0.92981,                0.88383,                0.93817,                0.75811,                 1.6447,                 0.9528,                 2.2394,             7.1613e-05,             7.1613e-05,             7.1613e-05
                     90,                 1.0406,                0.55255,                 1.7892,                0.91549,                0.89422,                0.93788,                 0.7595,                 1.6484,                0.95515,                 2.2443,             6.6108e-05,             6.6108e-05,             6.6108e-05
                     91,                0.97545,                0.42995,                 1.7645,                0.94235,                0.86674,                0.93625,                0.75947,                 1.6328,                0.95433,                 2.2242,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     92,                0.97273,                 0.4182,                 1.7626,                 0.9305,                0.86781,                0.93516,                0.75638,                 1.6424,                0.95739,                 2.2292,               5.51e-05,               5.51e-05,               5.51e-05
                     93,                0.94152,                0.40705,                 1.7485,                0.91028,                0.88335,                0.93568,                0.75628,                 1.6457,                0.96137,                 2.2413,             4.9595e-05,             4.9595e-05,             4.9595e-05
                     94,                0.96257,                0.42075,                 1.7399,                0.92962,                 0.8673,                0.93572,                0.75562,                 1.6445,                0.96267,                   2.25,             4.4091e-05,             4.4091e-05,             4.4091e-05
                     95,                0.94607,                0.42138,                 1.7406,                0.91668,                0.87794,                0.93545,                0.75673,                 1.6465,                0.95569,                  2.255,             3.8586e-05,             3.8586e-05,             3.8586e-05
                     96,                0.94512,                 0.4126,                 1.7385,                0.91998,                0.87565,                0.93542,                 0.7548,                 1.6495,                0.95979,                 2.2544,             3.3082e-05,             3.3082e-05,             3.3082e-05
                     97,                0.94994,                0.41941,                  1.748,                0.91114,                0.88732,                0.93734,                0.76012,                 1.6504,                0.95879,                 2.2684,             2.7578e-05,             2.7578e-05,             2.7578e-05
                     98,                0.90469,                0.39463,                  1.729,                0.91984,                0.87972,                0.93653,                0.75794,                 1.6456,                0.95815,                  2.257,             2.2073e-05,             2.2073e-05,             2.2073e-05
                     99,                0.89396,                0.39109,                 1.7245,                0.91551,                  0.884,                 0.9357,                 0.7594,                 1.6413,                0.95079,                 2.2533,             1.6569e-05,             1.6569e-05,             1.6569e-05
                    100,                0.90772,                0.39848,                 1.7241,                0.91714,                0.88317,                0.93784,                0.76081,                 1.6451,                0.95102,                 2.2591,             1.1064e-05,             1.1064e-05,             1.1064e-05
